AIRPORTCODE,AIRPORTNAME,CITYCODE,CITYNAME,COUNTRYNAME,CURRENCYCODE
IRA,Kirakira,IRA,Kirakira,Solomon Islands,SBD
IRC,Circle City,IRC,Circle,United States,USD
IRG,Lockhart River,IRG,Lockhart River,Australia,AUD
IRI,Nduli,IRI,Iringa,Tanzania,TZS
IRJ,La Rioja,IRJ,La Rioja,Argentina,ARS
IRK,Kirksville Municipal,IRK,Kirksville,United States,USD
IRO,Birao,IRO,Birao,Central African Republic,XAF
IRP,Matari,IRP,Isiro,Congo (Rep. Dem.),CDF
IRR,Rome Ostiense Train Station,IRR,Rome,Italy,EUR
IRZ,Santa Isabel do Rio Negro Airport,IRZ,Santa Isabel do Rio Negro,Brazil,BRL
ISA,Mount Isa,ISA,Mount Isa,Australia,AUD
ISB,Islamabad,ISB,Islamabad,Pakistan,PKR
ISC,Is Scilly,ISC,Isles Of Scilly,United Kingdom,GBP
TSO,Tresco,ISC,Isles Of Scilly,United Kingdom,GBP
ISE,Isparta,ISE,Isparta,Turkey,TRY
ISG,Ishigaki,ISG,Ishigaki,Japan,JPY
ISK,Gandhinagar,ISK,Nasik,India,INR
ISL,La Tortuga Punta Delgada Airport,ISL,Isabel Pass,United States,USD
ISN,Sloulin Field Int'l,ISN,Williston,United States,USD
ISO,Stalliings Field,ISO,Kinston,United States,USD
ISP,Long Island Macarthur,ISP,Islip,United States,USD
IST,Ataturk,IST,Istanbul,Turkey,TRY
SAW,Sabiha Gokcen,IST,Istanbul,Turkey,TRY
ISU,Sulaimaniyah,ISU,Sulaymaniyah,Iraq,IQD
ITB,Itaituba Airport,ITB,Itaituba,Brazil,BRL
ITH,Tompkins County,ITH,Ithaca,United States,USD
ITK,Itokama,ITK,Itokama,Papua New Guinea,PGK
ITO,Hilo Int'l,ITO,Hilo,United States,USD
IUE,Hanan,IUE,Niue Island,Niue,NZD
IUL,Ilu,IUL,Ilu,Indonesia,IDR
IVA,Ambanja,IVA,Ambanja,Madagascar,MGA
IVC,Invercargill,IVC,Invercargill,New Zealand,NZD
IVL,Ivalo,IVL,Ivalo,Finland,EUR
IVR,Inverell,IVR,Inverell,Australia,AUD
IWD,Gogebic County,IWD,Ironwood,United States,USD
IXA,Singerbhil,IXA,Agartala,India,INR
IXB,Bagdogra,IXB,Bagdogra,India,INR
IXC,Chandigarh,IXC,Chandigarh,India,INR
IXD,Bamrauli,IXD,Allahabad,India,INR
IXE,Bajpe,IXE,Mangalore,India,INR
IXG,Sambre,IXG,Belgaum,India,INR
IXH,Kailashahar,IXH,Kailashahar,India,INR
IXI,Lilabari,IXI,Lilabari,India,INR
IXJ,Satwari,IXJ,Jammu,India,INR
IXK,Keshod,IXK,Keshod,India,INR
IXL,Leh,IXL,Leh,India,INR
IXM,Madurai,IXM,Madurai,India,INR
IXP,Pathankot,IXP,Pathankot,India,INR
IXR,Ranchi,IXR,Ranchi,India,INR
IXS,Kumbhirgram,IXS,Silchar,India,INR
IXT,Pasighat Airport,IXT,Pasighat,India,INR
IXU,Chikkalthana,IXU,Aurangabad,India,INR
IXW,Sonari,IXW,Jamshedpur,India,INR
IXY,Kandla,IXY,Kandla,India,INR
IXZ,Port Blair,IXZ,Port Blair,India,INR
IYK,Kern County,IYK,Inyokern,United States,USD
IZA,Juiz de Fora Zona da Mata Regional Airport,IZA,Juiz de Fora,Brazil,BRL
ADB,Iadnan Menderes,IZM,Izmir,Turkey,TRY
IZO,Izumo,IZO,Izumo,Japan,JPY
JAA,Jalalabad,JAA,Jalalabad,Afghanistan,AFN
JAC,Jackson Hole,JAC,Jackson,United States,USD
JAD,Jandakot,JAD,Jandakot,Australia,AUD
JAG,JACOBABAD,JAG,Jacobabad,Pakistan,PKR
JAI,Jaipur,JAI,Jaipur,India,INR
JAK,Jacmel,JAK,Jacmel,Haiti,HTG
JAN,Jackson Int'l,JAN,Jackson,United States,USD
