AIRPORTCODE,AIRPORTNAME,CITYCODE,CITYNAME,COUNTRYNAME,CURRENCYCODE
BOB,Motu-Mute,BOB,Bora Bora,French Polynesia,XPF
BOC,Bocas Del Toro,BOC,Bocas Del Toro,Panama,PAB
BOD,Merignac,BOD,Bordeaux,France,EUR
BOE,Boundji,BOE,Boundji,Congo,CDF
BOG,Eldorado,BOG,Bogota,Colombia,COP
BOH,Bournemouth Int'l,BOH,Bournemouth,United Kingdom,GBP
BOI,Boise Air Term. (Gowen Field),BOI,Boise,United States,USD
BOJ,Bourgas,BOJ,Bourgas,Bulgaria,BGN
BOM,Mumbai,BOM,Mumbai,India,INR
BON,Flamingo Int'l,BON,Bonaire,Netherlands Antilles,ANG
BOO,Bodo,BOO,Bodo,Norway,NOK
BOP,Bouar,BOP,Bouar,Central African Republic,XAF
BOR,Fontaine,BOR,Belfort,France,EUR
BOS,Logan Int'l,BOS,Boston,United States,USD
BOX,Borroloola,BOX,Borroloola,Australia,AUD
BOY,Borgo,BOY,Bobo Dioulasso,Burkina Faso,XOF
BOZ,Bozoum,BOZ,Bozoum,Central African Republic,XAF
BPC,Bamenda,BPC,Bamenda,Cameroon,XAF
BPG,Barra Do Garcas,BPG,Barra Do Garcas,Brazil,BRL
BPM,Begumpet Airport,BPM,Hyderabad,India,INR
BPN,Sepingan,BPN,Balikpapan,Indonesia,IDR
BPR,Borongan Airport,BPR,Borongan,Philippines,PHP
BPS,Porto Seguro,BPS,Porto Seguro,Brazil,BRL
BPT,Jefferson County,BPT,Beaumont,United States,USD
BPY,Besalampy,BPY,Besalampy,Madagascar,MGA
BQB,Busselton,BQB,Busselton,Australia,AUD
BQL,Boulia,BQL,Boulia,Australia,AUD
BQN,Borinquen,BQN,Aguadilla,Puerto Rico,USD
BQO,Bouna,BQO,Bouna,Ivory Coast,
BQT,Brest,BQT,Brest,Belarus (Belorussia),BYR
BRA,Barreiras,BRA,Barreiras,Brazil,BRL
BRC,Bariloche Int'l,BRC,Bariloche,Argentina,ARS
BRD,Crow Wing County,BRD,Brainerd,United States,USD
BRE,Bremen,BRE,Bremen,Germany,EUR
BRG,Whitesburg Municipal Airport,BRG,Whitesburg,United States,USD
BRI,Palese,BRI,Bari,Italy,EUR
BRK,Bourke,BRK,Bourke,Australia,AUD
BRL,Burlington,BRL,Burlington,United States,USD
BRM,Barquisimeto,BRM,Barquisimeto,Venezuela,VEF
BRN,Belp,BRN,Berne,Switzerland,CHF
BRO,Bouth Padre Is. Int'l,BRO,Brownsville,United States,USD
BRQ,Turany,BRQ,Brno,Czech Republic,CZK
BRR,North Bay,BRR,Barra,United Kingdom,GBP
BRS,Bristol,BRS,Bristol,United Kingdom,GBP
BRT,Bathurst Island,BRT,Bathurst Island,Australia,AUD
BRU,Brussels National,BRU,Brussels,Belgium,EUR
CRL,Brussels S. Charleroi,BRU,Brussels,Belgium,EUR
ZYR,Brussels Midi Railway Station,BRU,Brussels,Belgium,EUR
BRV,Bremerhaven,BRV,Bremerhaven,Germany,EUR
BRW,Will Rogers Memorial,BRW,Barrow,United States,USD
BSA,Bossaso,BSA,Bossaso,Somalia,SOS
BSB,Brasilia Int'l,BSB,Brasilia,Brazil,BRL
BSC,Bahia Solano,BSC,Bahia Solano,Colombia,COP
BSG,Bata,BSG,Bata,Equatorial Guinea,EUR
BSJ,Bairnsdale,BSJ,Bairnsdale,Australia,AUD
BSK,Biskra,BSK,Biskra,Algeria,DZD
BSN,Bossangoa,BSN,Bossangoa,Central African Republic,XAF
BSO,Basco Airport,BSO,Basco,Philippines,PHP
BSP,Bensbach,BSP,Bensbach,Papua New Guinea,PGK
BSR,BASRAH INTERNATIONAL,BSR,Basra,Iraq,IQD
BST,Bost,BST,Bost,Afghanistan,AFN
BSU,Basankusu,BSU,Basankusu,Congo (Rep. Dem.),CDF
BSV,Besakoa,BSV,Besakoa,Madagascar,MGA
BTA,Bertoua,BTA,Bertoua,Cameroon,XAF
BTB,Betou,BTB,Betou,Congo,CDF
BTE,Bonthe,BTE,Bonthe,Sierra Leone,SLL
BTG,Batangafo,BTG,Batangafo,Central African Republic,XAF
BTH,Hang Nadim,BTH,Batu Besar,Indonesia,IDR
BTI,Barter Island,BTI,Barter Island,United States,USD
BTJ,Blang Bintang,BTJ,Banda Aceh,Indonesia,IDR
BTK,Bratsk,BTK,Bratsk,Russian Federation,RUB
BTL,Wk Kellogg Regional,BTL,Battle Creek,United States,USD
BTM,Butte,BTM,Butte,United States,USD
BTR,Ryan,BTR,Baton Rouge,United States,USD
BTS,Ivanka,BTS,Bratislava,Slovakia,SKK
BTT,Bettles,BTT,Bettles,United States,USD
BTU,Bintulu,BTU,Bintulu,Malaysia,MYR
BTV,Burlington Int'l,BTV,Burlington,United States,USD
BTZ,BURSA,BTZ,Bursa,Turkey,TRY
BUA,Buka,BUA,Buka,Papua New Guinea,PGK
BUC,Burketown,BUC,Burketown,Australia,AUD
BUD,Ferihegy,BUD,Budapest,Hungary,HUF
AEP,Jorge Newbery,BUE,Buenos Aires,Argentina,ARS
EZE,Ministro Pistarini,BUE,Buenos Aires,Argentina,ARS
BUF,Greater Buffalo Int'l,BUF,Buffalo,United States,USD
BUG,Gen V Deslande,BUG,Benguela,Angola,AOA
BBU,Baneasa,BUH,Bucharest,Romania,RON
OTP,Otopeni Int'l,BUH,Bucharest,Romania,RON
BUI,Bokondini,BUI,Bokondini,Indonesia,IDR
BUK,Albuq,BUK,Albuq,Yemen,YER
BUL,Bulolo,BUL,Bulolo,Papua New Guinea,PGK
BUN,Buenaventura,BUN,Buenaventura,Colombia,COP
BUO,Burao,BUO,Burao,Somalia,SOS
BUP,Bhatinda,BUP,Bhatinda,India,INR
BUQ,Bulawayo,BUQ,Bulawayo,Zimbabwe,ZWD
BUR,Burbank,BUR,Burbank,United States,USD
BUS,Batumi,BUS,Batumi,Georgia,GEL
BUT,Bathpalathang Airport,BUT,Burtonwood,United Kingdom,GBP
BUW,Baubau,BUW,Baubau,Indonesia,IDR
BUX,Bunia,BUX,Bunia,Congo (Rep. Dem.),CDF
BUZ,Bushehr,BUZ,Bushehr,Iran,IRR
BVB,Boa Vista,BVB,Boa Vista,Brazil,BRL
BVC,Rabil,BVC,Boa Vista,Cape Verde,CVE
BVE,Laroche,BVE,Brive La Gaillard,France,EUR
BVG,Berlevag,BVG,Berlevag,Norway,NOK
BVH,Vilhena,BVH,Vilhena,Brazil,BRL
BVI,Birdsville,BVI,Birdsville,Australia,AUD
BVM,Belmonte,BVM,Belmonte,Brazil,BRL
BWA,BWA,BWA,Bhairawa,Nepal,NPR
BWD,Brownwood,BWD,Brownwood,United States,USD
BWE,Braunschweig,BWE,Braunschweig,Germany,EUR
BWG,Bowling Green - Warren County Airport,BWG,Bowling Green,United States,USD
BWK,Brac Airport,BWK,Bol,Croatia,HRK
BWN,Brunei Int'l,BWN,Bandar Seri Begawan,Brunei Darussalam,BND
BWT,Burnie Wynyard,BWT,Burnie,Australia,AUD
BXB,Babo,BXB,Babo,Indonesia,IDR
BXC,Boxborough,BXC,Boxborough,United States,USD
BXD,Bade,BXD,Bade,Indonesia,IDR
BXE,Bakel,BXE,Bakel,Senegal,XOF
BXI,Boundiali,BXI,Boundiali,Ivory Coast,
BXM,Batom,BXM,Batom,Indonesia,IDR
BJV,Milas,BXN,Bodrum,Turkey,TRY
BXN,Bodrum Imsik Airport,BXN,Bodrum,Turkey,TRY
BXU,Butuan,BXU,Butuan,Philippines,PHP
BXV,Breiddalsvik,BXV,Breiddalsvik,Iceland,ISK
BYB,Dibaa,BYB,Dibaa,Oman,OMR
BYC,Yacuiba,BYC,Yacuiba,Bolivia,BOB
BYK,Bouake,BYK,Bouake,Ivory Coast,
BYM,C.M. De Cespedes,BYM,Bayamo,Cuba,CUP
BYO,Bonito Airport,BYO,Bonito,Brazil,BRL
BYU,Bindlacher-Berg,BYU,Bayreuth,Germany,EUR
BYX,Baniyala,BYX,Baniyala,Australia,AUD
BZE,Philip S.W. Goldson Int'l,BZE,Belize City,Belize,BZD
BZG,Bydgoszcz I. J. Paderewski Airport,BZG,Bydgoszcz,Poland,PLN
BZL,Barisal Airport,BZL,Barisal,Bangladesh,BDT
BZM,Woensdrecht,BZM,Bergen Op Zoom,Netherlands,ANG
BZN,Galltin Field,BZN,Bozeman,United States,USD
BZO,Bolzano,BZO,Bolzano,Italy,EUR
BZR,Beziers Vias,BZR,Beziers,France,EUR
BZV,Maya Maya,BZV,Brazzaville,Congo,CDF
CAB,Cabinda,CAB,Cabinda,Angola,AOA
CAC,Cascavel,CAC,Cascavel,Brazil,BRL
CAE,Columbia Metropolitan,CAE,Columbia,United States,USD
CAG,Elmas,CAG,Cagliari,Italy,EUR
CAI,Cairo Int'l,CAI,Cairo,Egypt,EGP
CAJ,Canaima,CAJ,Canaima,Venezuela,VEF
CAK,Akron,CAK,Akron Canton,United States,USD
CAL,Machrihanish,CAL,Campbeltown,United Kingdom,GBP
CAM,Camiri,CAM,Camiri,Bolivia,BOB
CAN,Baiyun,CAN,Guangzhou,China,CNY
CAP,Cap Haitien,CAP,Cap Haitien,Haiti,HTG
CAQ,Caucasia,CAQ,Caucasia,Colombia,COP
CAS,Casablanca - Anfa,CAS,Casablanca,Morocco,MAD
CMN,Mohamed V,CAS,Casablanca,Morocco,MAD
CAV,Cazombo,CAV,Cazombo,Angola,AOA
CAW,Bartolomeu Lisandro,CAW,Campos,Brazil,BRL
CAX,Carlisle,CAX,Carlisle,United Kingdom,GBP
CAY,Rochambeau,CAY,Cayenne,French Guiana,EUR
CBB,J Wilsterman,CBB,Cochabamba,Bolivia,BOB
CBD,Car Nicobar,CBD,Car Nicobar,India,INR
CBE,WILEY FORD,CBE,Cumberland,United States,USD
CBG,Cambridge,CBG,Cambridge,United Kingdom,GBP
CBH,Leger,CBH,Bechar,Algeria,DZD
CBL,Ciudad Bolivar,CBL,Ciudad Bolivar,Venezuela,VEF
CBN,Penggung,CBN,Cirebon,Indonesia,IDR
CBO,Awang,CBO,Cotabato,Philippines,PHP
CBQ,Calabar,CBQ,Calabar,Nigeria,NGN
CBR,Canberra,CBR,Canberra,Australia,AUD
CBT,Catumbela,CBT,Catumbela,Angola,AOA
CBX,Condobolin,CBX,Condobolin,Australia,AUD
CCC,Cayo Coco Airport,CCC,Cayo Coco,Cuba,CUP
CCF,Salvaza,CCF,Carcassonne,France,EUR
CCJ,Calicut,CCJ,Calicut,India,INR
CCK,Cocos Islands,CCK,Cocos Islands,Cocos (Keeling) Island,AUD
CCM,Crisciuma,CCM,Crisciuma,Brazil,BRL
CCN,Chakcharan,CCN,Chakcharan,Afghanistan,AFN
CCO,Carimagua,CCO,Carimagua,Colombia,COP
CCP,Carriel Sur,CCP,Concepcion,Chile,CLP
CCR,Buchanan Field,CCR,Concord,United States,USD
CCS,Simon Bolivar,CCS,Caracas,Venezuela,VEF
CCT,Colonia Catriel,CCT,Colonia Catriel,Argentina,ARS
CCU,Calcutta,CCU,Kolkata,India,INR
CCV,Craig Cove,CCV,Craig Cove,Vanuatu,VUV
CCZ,Chub Cay,CCZ,Chub Cay,Bahamas,BSD
CDB,Cold Bay,CDB,Cold Bay,United States,USD
CDC,Cedar City,CDC,Cedar City,United States,USD
CDJ,Conceicao Do Arag,CDJ,Conceicao Do Arag,Brazil,BRL
CDP,Cuddapah Airport,CDP,Cuddapah,India,INR
CDR,Chadron,CDR,Chadron,United States,USD
CDT,Castellon de la Plana,CDT,Castellon de la Plana,Spain,EUR
CDV,Mudhole Smith,CDV,Cordova,United States,USD
CEB,Cebu,CEB,Cebu,Philippines,PHP
CEC,Mc Namara Field,CEC,Crescent City,United States,USD
CED,Ceduna,CED,Ceduna,Australia,AUD
CEI,Chiang Rai,CEI,Chiang Rai,Thailand,THB
CEK,Chelyabinsk,CEK,Chelyabinsk,Russian Federation,RUB
CEN,Ciudad Obregon,CEN,Ciudad Obregon,Mexico,MXN
CEO,Waco Kungo,CEO,Waco Kungo,Angola,AOA
CEQ,Cannes - Mandelieu,CEQ,Cannes,France,EUR
CER,Maupertus,CER,Cherbourg,France,EUR
CES,Cessnock,CES,Cessnock,Australia,AUD
CEZ,Montezuma County,CEZ,Cortez,United States,USD
CFB,Cabo Frio,CFB,Cabo Frio,Brazil,BRL
CFC,Cacador Airport,CFC,Cacador,Brazil,BRL
CFE,Aulnat,CFE,Clermont Ferrand,France,EUR
CFG,Jaime GonzÃ¡lez Airport,CFG,Cienfuegos,Cuba,CUP
CFK,Aboubakr Belkaid,CFK,chief,United States,USD
CFN,Donegal,CFN,Donegal,Ireland,EUR
CFO,Confreza,CFO,Confreza,Brazil,BRL
CFR,Carpiquet,CFR,Caen,France,EUR
CFS,Coffs Harbour,CFS,Coffs Harbour,Australia,AUD
CFU,Kerkyra,CFU,Kerkyra,Greece,EUR
CGB,M. Rondon,CGB,Cuiaba,Brazil,BRL
CGD,Changde Taohuayuan Airport,CGD,Changde,China,CNY
CGI,Cape Girardeau,CGI,Cape Girardeau,United States,USD
CGM,Camiguin Airport,CGM,Camiguin,Philippines,PHP
CGN,Cologne,CGN,Cologne,Germany,EUR
CGO,Zhengzhou,CGO,Zhengzhou,China,CNY
CGP,Patenga,CGP,Chittagong,Bangladesh,BDT
CGQ,Changchun,CGQ,Changchun,China,CNY
CGR,Campo Grande Int'l,CGR,Campo Grande,Brazil,BRL
CGS,College Park,CGS,College Park,United States,USD
CGY,Lumbia,CGY,Cagayan De Oro,Philippines,PHP
CHA,Lovell Field,CHA,Chattanooga,United States,USD
CHC,Christchurch,CHC,Christchurch,New Zealand,NZD
SLJ,Stellar Air Park,CHD,Chandler,United States,USD
CHH,Chachapoyas,CHH,Chachapoyas,Peru,PEN
MDW,Midway,CHI,Chicago,United States,USD
ORD,O’Hare Int'l,CHI,Chicago,United States,USD
CHM,Chimbote,CHM,Chimbote,Peru,PEN
CHO,Albemarle,CHO,Charlottesville,United States,USD
CHQ,Souda,CHQ,Chania,Greece,EUR
CHR,Chateauroux,CHR,Chateauroux,France,EUR
CHS,Charleston,CHS,Charleston,United States,USD
CHU,Chuathbaluk,CHU,Chuathbaluk,United States,USD
CHX,Changuinola,CHX,Changuinola,Panama,PAB
CHY,Choiseul Bay,CHY,Choiseul Bay,Solomon Islands,SBD
CIC,Chico,CIC,Chico,United States,USD
CID,Cedar Rapids,CID,Cedrrap Iowacty,United States,USD
CIE,Collie Airport,CIE,Collie,Australia,AUD
CIF,Chifeng,CIF,Chifeng,China,CNY
CIH,Changzhi,CIH,Changzhi,China,CNY
CIJ,E. Beltram,CIJ,Cobija,Bolivia,BOB
CIK,Chalkyitsik,CIK,Chalkyitsik,United States,USD
CIL,Melsing Creek,CIL,Council,United States,USD
CIM,Cimitarra,CIM,Cimitarra,Colombia,COP
CIP,Chipata,CIP,Chipata,Zambia,ZMW 
CIT,Chimkent,CIT,Chimkent,Kazakhstan,KZT
CIW,Canouan Island,CIW,Canouan Island,St. Vincent & the Grenadines,XCD
CIX,Cornel Ruiy,CIX,Chiclayo,Peru,PEN
CIY,Comiso Ragusa Airport,CIY,Comiso,Italy,EUR
CIZ,Coari Airport,CIZ,Coari,Brazil,BRL
CJA,Cajamarca,CJA,Cajamarca,Peru,PEN
CJB,Peelamedu,CJB,Coimbatore,India,INR
CJC,Calama,CJC,Calama,Chile,CLP
CJD,Candilejas,CJD,Candilejas,Colombia,COP
CJJ,Cheongju International Airport,CJJ,Cheong Ju,South Korea,KRW
CJM,Chumphon,CJM,Chumphon,Thailand,THB
CJS,Ciudad Juarez Intl,CJS,Ciudad Juarez,Mexico,MXN
CJU,Cheju,CJU,Cheju,South Korea,KRW
CKB,Benedium,CKB,Clarksburg,United States,USD
CKD,Crooked Creek,CKD,Crooked Creek,United States,USD
CKG,Chongqing,CKG,Chongqing,China,CNY
CKK,CHEROKEE,CKK,Cherokee,United States,USD
CKS,Carajas,CKS,Carajas,Brazil,BRL
CKY,Conakry,CKY,Conakry,Guinea,GNF
CKZ,Canakkale,CKZ,Canakkale,Turkey,TRY
CLD,Carlsbad,CLD,Carlsbad,United States,USD
BKL,Burke Lakefront,CLE,Cleveland,United States,USD
CGF,Cuyahoga County,CLE,Cleveland,United States,USD
CLE,Hopkins Int'l,CLE,Cleveland,United States,USD
CLJ,Cluj,CLJ,Cluj,Romania,RON
CLL,Easterwood Field,CLL,College Station,United States,USD
CLM,Fairchild Int'l,CLM,Port Angeles,United States,USD
CLO,Alfonso B. Aragon,CLO,Cali,Colombia,COP
CLP,Clarks Point,CLP,Clarks Point,United States,USD
CLQ,Colima,CLQ,Colima,Mexico,MXN
CLT,Douglas,CLT,Charlotte,United States,USD
CLV,Caldas Novas Airport,CLV,Caldas Novas,Brazil,BRL
CLY,Ste Catherine,CLY,Calvi,France,EUR
CMA,Camarillo Airport,CMA,Cunnamulla,Australia,AUD
CMB,Katunayake,CMB,Colombo,Sri Lanka,LKR
CMD,Cootamundra Airport,CMD,Cootamundra,Australia,AUD
CME,Ciudad Del Carmen,CME,Ciudad Del Carmen,Mexico,MXN
CMF,Chambery,CMF,Chambery,France,EUR
CMG,Corumba Int'l,CMG,Corumba,Brazil,BRL
CMH,Port Columbus Int'l,CMH,Columbus,United States,USD
LCK,Rickenbacker,CMH,Columbus,United States,USD
OSU,Ohio State University,CMH,Columbus,United States,USD
CMI,Willard University,CMI,Champaign,United States,USD
CMJ,Chi Mei,CMJ,Chi Mei,Taiwan,TWD
CMP,Santana Do Aragua,CMP,Santana Do Aragua,Brazil,BRL
CMQ,Clermont,CMQ,Clermont,Australia,AUD
CMR,Colmar-Houssen,CMR,Colmar,France,EUR
CMU,Chimbu,CMU,Kundiawa,Papua New Guinea,PGK
CMW,Ign Agramonte Int'l,CMW,Camaguey,Cuba,CUP
CMX,Houghton County,CMX,Hancock,United States,USD
CNC,Coconut Island,CNC,Coconut Island,Australia,AUD
CND,Kogalniceanu,CND,Constanta,Romania,RON
CNJ,Cloncurry,CNJ,Cloncurry,Australia,AUD
CNM,Carlsbad,CNM,Carlsbad,United States,USD
CNN,Kannur International Airport,CNN,Kannur,India,INR
CNO,Chino,CNO,Chino,United States,USD
CNQ,Camba Punta,CNQ,Corrientes,Argentina,ARS
CNS,Cairns,CNS,Cairns,Australia,AUD
CNX,Chiang Mai Int'l,CNX,Chiang Mai,Thailand,THB
CNY,Canyonlands Field,CNY,Moab,United States,USD
COC,Concordia,COC,Concordia,Argentina,ARS
COD,Yellowstone Regional,COD,Cody,United States,USD
COE,Coeur D'Alene,COE,Coeur D'Alene,United States,USD
COG,Condoto,COG,Condoto,Colombia,COP
COH,Cooch Behar,COH,Cooch Behar,India,INR
COJ,Coonabarabran,COJ,Coonabarabran,Australia,AUD
COK,Kochi,COK,Kochi,India,INR
CON,Concord,CON,Concord,United States,USD
COO,Cotonou,COO,Cotonou,Benin,XOF
COR,Pajas Blancas,COR,Cordoba,Argentina,ARS
COS,Colorado Springs,COS,Colorado Springs,United States,USD
COU,Columbia Regional,COU,Columbia,United States,USD
CPA,A. Tubman,CPA,Cape Palmas,Liberia,LRD
CPB,Capurgana,CPB,Capurgana,Colombia,COP
CPC,San Martin de Los Andes,CPC,San Martin de Los Andes,Argentina,ARS
CPD,Coober Pedy,CPD,Coober Pedy,Australia,AUD
CPE,Campeche Int'l,CPE,Campeche,Mexico,MXN
CPH,Copenhagen,CPH,Copenhagen,Denmark,DKK
RKE,Roskilde,CPH,Copenhagen,Denmark,DKK
CPM,Compton,CPM,Compton,United States,USD
CPN,Cape Rodney,CPN,Cape Rodney,Papua New Guinea,PGK
CPO,Chamonate,CPO,Copiapo,Chile,CLP
CPQ,Campinas Int'l,CPQ,Campinas,Brazil,BRL
CPR,Casper,CPR,Casper,United States,USD
CPT,International,CPT,Cape Town,South Africa,ZAR
CPV,Joao Suassuna,CPV,Campina Grande,Brazil,BRL
CPX,Culebra,CPX,Culebra,Puerto Rico,USD
CQM,Ciudad Real,CQM,Ciudad Real,Spain,EUR
CQT,Caquetania,CQT,Caquetania,Colombia,COP
CRA,Craiova Airport,CRA,Craiova,Romania,RON
CRD,Cdro Rivadavia,CRD,Cdro Rivadavia,Argentina,ARS
CRF,Carnot,CRF,Carnot,Central African Republic,XAF
CRI,Crooked Island,CRI,Crooked Island,Bahamas,BSD
CRK,Clark International Airport,CRK,Angeles City,Philippines,PHP
CRM,Catarman National Airport,CRM,Catarman,Philippines,PHP
CRN,Cromarty Airport,CRN,Cromarty,United Kingdom,GBP
CRP,Corpus Christi Int'l,CRP,Corpus Christi,United States,USD
CRQ,Caravelas,CRQ,Caravelas,Brazil,BRL
CRU,Carriacou Is,CRU,Carriacou Island,Grenada,XCD
CRV,crotone airport,CRV,Crotone,Italy,EUR
CRW,Yeager,CRW,Charleston,United States,USD
CSB,Caransebes,CSB,Caransebes,Romania,RON
CSG,Columbus,CSG,Columbus,United States,USD
CSK,Cap Skirring,CSK,Cap Skirring,Senegal,XOF
CSL,O’Sullivan AAF,CSL,San Luis,United States,USD
SBP,San Luis County,CSL,San Luis,United States,USD
CSN,Carson City,CSN,Carson City,United States,USD
CSO,Cochstedt,CSO,Cochstedt,Germany,EUR
CST,Castaway,CST,Castaway,Fiji Islands,FJD
CSX,Changsha,CSX,Changsha,China,CNY
CSY,Cheboksary Airport,CSY,Cheboksary,Russian Federation,RUB
CTA,Fontanarossa,CTA,Catania,Italy,EUR
CTC,Catamarca,CTC,Catamarca,Argentina,ARS
CTG,Rafael Nunez,CTG,Cartagena,Colombia,COP
CTL,Charleville,CTL,Charleville,Australia,AUD
CTM,Chetumal,CTM,Chetumal,Mexico,MXN
CTN,Cooktown,CTN,Cooktown,Australia,AUD
CTU,Chengdu,CTU,Chengdu,China,CNY
CUC,Cucuta,CUC,Cucuta,Colombia,COP
CUE,Cuenca,CUE,Cuenca,Ecuador,USD
CUF,Levaldige,CUF,Cuneo,Italy,EUR
CUL,Fedl De Bachigualato,CUL,Culiacan,Mexico,MXN
CUM,Cumana,CUM,Cumana,Venezuela,VEF
CUN,Cancun,CUN,Cancun,Mexico,MXN
CUP,Carupano,CUP,Carupano,Venezuela,VEF
CUQ,Coen,CUQ,Coen,Australia,AUD
CUR,Aeropuerto Hato,CUR,Curacao,Netherlands Antilles,ANG
CUT,Cutral,CUT,Cutral,Argentina,ARS
CUU,Gen Fierro Villalobos,CUU,Chihuahua,Mexico,MXN
CUY,Cue,CUY,Cue,Australia,AUD
CUZ,Velazco Astete,CUZ,Cuzco,Peru,PEN
CVF,Courchevel,CVF,Courchevel,France,EUR
CVG,Cincinnati/Northern Kentucky,CVG,Cincinnati,United States,USD
CVJ,General Mariano Matamoros Airport,CVJ,Cuernavaca,Mexico,MXN
CVL,Cape Vogel,CVL,Cape Vogel,Papua New Guinea,PGK
CVM,Ciudad Victoria,CVM,Ciudad Victoria,Mexico,MXN
CVN,Clovis Municipal,CVN,Clovis,United States,USD
CVQ,Carnarvon,CVQ,Carnarvon,Australia,AUD
CVR,Hughes,CVR,Culver City,United States,USD
CVT,Coventry West Midlands Intl Airport,CVT,Coventry,United Kingdom,GBP
CWB,Afonso Pena,CWB,Curitiba,Brazil,BRL
CWC,Chernovtsy Airport,CWC,Chernovtsy,Ukraine,UAH
CWL,Cardiff,CWL,Cardiff,United Kingdom,GBP
CWT,Cowra,CWT,Cowra,Australia,AUD
CXA,Caicara De Oro,CXA,Caicara De Oro,Venezuela,VEF
CXB,Cox's Bazar,CXB,Cox's Bazar,Bangladesh,BDT
CXI,Christmas Island,CXI,Christmas Island,Kiribati,AUD
CXJ,Campo Dos Bugres,CXJ,Caxias Do Sul,Brazil,BRL
CXL,Calexico Internatioanl,CXL,Calexico,United States,USD
CXP,Tunggul Wulung,CXP,Cilacap,Indonesia,IDR
CXR,Cam Ranh International Airport,CXR,Cam Ranh,Vietnam,VND
CXT,Charters Towers,CXT,Charters Towers,Australia,AUD
CYB,Gerrard-Smith,CYB,Cayman Brac Island,Cayman Islands,KYD
CYC,Caye Chapel,CYC,Caye Chapel,Belize,BZD
CYG,Corryong,CYG,Corryong,Australia,AUD
CYO,Vilo Acuna Airport,CYO,Cayo Largo Del Sur,Cuba,CUP
CYP,Calbayog,CYP,Calbayog,Philippines,PHP
CYR,Colonia,CYR,Colonia,Uruguay,UYU
CYS,Cheyenne,CYS,Cheyenne,United States,USD
CYZ,Cauayan Airport,CYZ,Cauayan,Philippines,PHP
CZE,Coro,CZE,Coro,Venezuela,VEF
CZH,Corozal,CZH,Corozal,Belize,BZD
CZL,Ain El Bey,CZL,Constantine,Algeria,DZD
CZM,Cozumel,CZM,Cozumel,Mexico,MXN
CZS,Campo Int'l,CZS,Cruzeiro Do Sul,Brazil,BRL
CZU,Corozal,CZU,Corozal,Colombia,COP
CZX,Changzhou,CZX,Changzhou,China,CNY
DAB,Daytona Beach Regional,DAB,Daytona Beach,United States,USD
DAC,Zia Int'l,DAC,Dhaka,Bangladesh,BDT
DAD,Da Nang,DAD,Da Nang,Vietnam,VND
DAM,Damascus Int'l,DAM,Damascus,Syrian Arab Republic,SYP
DAN,Danville Municipal,DAN,Danville,United States,USD
DAR,Dar Es Salaam Int'l,DAR,Dar Es Salaam,Tanzania,TZS
DAU,Daru,DAU,Daru,Papua New Guinea,PGK
DAV,Enrique Malek,DAV,David,Panama,PAB
DAY,James Cox Dayton Int'l,DAY,Dayton,United States,USD
MGY,Montgomery Co,DAY,Dayton,United States,USD
DBB,Alalamain - Dabaa Intl Airport,DBB,Dabaa,Egypt,EGP
DBD,DHANBAD,DBD,Dhanbad,India,INR
DBM,Debra Marcos,DBM,Debra Marcos,Ethiopia,ETB
DBO,Dubbo,DBO,Dubbo,Australia,AUD
DBP,Debepare,DBP,Debepare,Papua New Guinea,PGK
DBQ,Dubuque Municipal,DBQ,Dubuque,United States,USD
DBT,Debra Tabor,DBT,Debra Tabor,Ethiopia,ETB
DBV,Dubrovnik,DBV,Dubrovnik,Croatia,HRK
DCM,Castres - Mazamet,DCM,Castres,France,EUR
DCN,Derby Airport,DCN,Derby,Australia,AUD
DDC,Dodge City Municipal,DDC,Dodge City,United States,USD
DDI,Daydream Is,DDI,Daydream Is,Australia,AUD
DDM,Dodoima,DDM,Dodoima,Papua New Guinea,PGK
DDN,DELTA DOWNS,DDN,Delta Downs,Australia,AUD
DEB,Debrecen,DEB,Debrecen,Hungary,HUF
DEC,Decatur,DEC,Decatur,United States,USD
DED,Dehra Dun,DED,Dehra Dun,India,INR
DEH,DECORAH MNPL,DEH,Decorah,United States,USD
DEI,Denis Island,DEI,Denis Island,Seychelles,SCR
DEL,Indira Gandhi Airport,DEL,Delhi,India,INR
DEM,Dembidollo,DEM,Dembidollo,Ethiopia,ETB
DEN,Denver Internationa,DEN,Denver,United States,USD
DER,Derim,DER,Derim,Papua New Guinea,PGK
DES,Desroches,DES,Desroches,Seychelles,SCR
DEZ,Deirezzor,DEZ,Deirezzor,Syrian Arab Republic,SYP
DAL,Love Field,DFW,Dallas,United States,USD
DFW,Ft Worth Int'l,DFW,Dallas,United States,USD
DGA,Dangriga,DGA,Dangriga,Belize,BZD
DGE,Mudgee,DGE,Mudgee,Australia,AUD
DGO,Guadalupe Victoria,DGO,Durango,Mexico,MXN
DGT,Dumaguete,DGT,Dumaguete,Philippines,PHP
DGU,Dedougou,DGU,Dedougou,Burkina Faso,XOF
DHA,Dhahran,DHA,Dhahran,Saudi Arabia,SAR
DHM,Gaggal,DHM,Dharamsala,India,INR
DHN,Dothan,DHN,Dothan,United States,USD
DHR,Den Helder - De Kooy Airfield,DHR,Den Helder,Netherlands,ANG
DHT,Dalhart,DHT,Dalhart,United States,USD
DIB,Mohanbari,DIB,Dibrugarh,India,INR
DIE,Antsiranana/Arrachart,DIE,Antsiranana,Madagascar,MGA
